Category,Skills
artificial intelligence,"keras, model deployment, ai model interpretability, cloud-based ai, ai solutions"
machine learning,"model evaluation, docker, edge ai, natural language processing (nlp), data preprocessing, google cloud ai, r"
big data engineer,"nosql, yarn, data processing, distributed computing, mapreduce, data lake, pig"
machine learning,"numpy, aws sagemaker, mlflow, natural language processing (nlp), neural networks"
machine learning,"logistic regression, nlp techniques, text mining, ai frameworks, convolutional neural networks (cnn), natural language processing (nlp)"
network engineer,"vlans, switching, access control lists (acls), mpls, traffic analysis, juniper networks, dns, site-to-site vpn, ubiquiti networks, junos"
big data engineer,"machine learning (big data), data redundancy, etl, big data security, big data optimization, data pipeline, cloud data solutions, hadoop"
mobile application developer,"cocoa touch, cocoapods, testflight, app performance optimization, in-app purchases"
big data engineer,"cloud computing, java mapreduce, data redundancy, etl tools, hadoop ecosystem, data integration, apache storm"
backend developer,"terraform, ci/cd, api gateway, database design, kubernetes"
machine learning,"generative adversarial networks (gans), azure machine learning, recurrent neural networks (rnn), artificial intelligence, edge ai, data cleaning, ai frameworks, numpy, natural language processing (nlp), pandas"
backend developer,"apache kafka, oauth2, distributed caching, event-driven architecture, php, application security, database management"
cloud engineer,"cloud platform solutions, ci/cd, network security, networking, virtualization, azure"
mobile application developer,"app lifecycle management, app usability testing, app debugging tools, mobile app prototyping, app analytics, ui/ux design, restful apis"
data scientist,"statistical modeling, data governance, anomaly detection, unsupervised learning, statistics, time series analysis"
information technology,"google cloud, application development, ssl/tls, citrix, vpn"
cyber security,"firewalls, risk mitigation, security operations, authentication, zero trust architecture, network security, compliance auditing, firewalls configuration"
software engineer,"test automation, vue.js, etl, pandas, css, objective-c, github"
database developer,"sql, aws redshift, database automation, big data, database high availability, olap"
artificial intelligence,"bayesian inference, ai for business intelligence, neural networks, machine learning operations (mlops), ai for healthcare, ai in gaming, unsupervised learning, spark, ai for robotics, data wrangling"
cyber security,"ethical hacking, metasploit, cryptography, tls/ssl, apt, cloud access security broker (casb)"
machine learning,"transfer learning, azure machine learning, reinforcement learning algorithms, support vector machines (svm), numpy, ai frameworks"
web developer,"mockups, kubernetes, firebase, docker, material ui, html5, invision, test automation, css, css3"
